pdes,popular_name,M1,K1,source_citation,notes,match_confidence,bigv_designation_old,bigv_page,ocr_excerpt
1863 V1,Tempel's Comet (1863 IV),6.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Tempel); body header notes 'At first designated as 1863 V or 1863e' — first paren-id drift; Holetschek H1=5m.4; C.A.M. H10=6m.1; synthesis from Schmidt/Bruhns/Rumker average H10=5m.7 also cited; chose C.A.M. per §3.1; page-image proofread vs page 218-219: confirmed",high,1863 IV,218,"Holetschek, taking for 12 Nov. to 17 Nov. m=4m, got H1=5m.4. In C.A.M. H10=6m.1. Using the estimates of Schmidt, Bruhns and Rumker for average H10 we get 5m.7."
1863 Y1,Respighi's Comet (1863 V),7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1862 X1 (wrong; that's Bruhns 1863 I); body identifies as Respighi's 28 Dec 1863 discovery (Provisional designation 1863 IV) = 1863 Y1 (Respighi) per target list; Holetschek H1=7m on 3 Jan 1864; C.A.M. H10=7m; synthesis 8m.2; chose C.A.M. per §3.1; page-image proofread vs page 219: confirmed",high,1863 V,219,"Taking m=5m.7(?) on 3 Jan. 1864, Holetschek obtained H1=7m. In C.A.M. H10=7m. From these estimates we obtain H10=8m.2."
1863 T1,Baeker's Comet (1863 VI),4.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1863 V1 (wrong; that's Tempel 1863 IV, the previous entry); body identifies as Backer's 9 Oct 1863 discovery; perihelion ~29 Dec from r,Δ data matches 1863 T1 (Baeker); only E-II value cited (4m.2); page-image proofread vs page 219-220: confirmed",high,1863 VI,219,"From the estimates in E-II, H10=4m.2. From Schmidt's estimates for 17 Nov., D1=6'.5; S=0.01."
1864 R1,Donati's Comet (1864 I),7.0,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 6P (wrong; 6P/d'Arrest 1864 apparition is entry 1864 IV); body identifies as Donati's 9 Sept 1864 discovery in Leo Minor — matches 1864 R1 (Donati) per target list peri 1864-07-28 (post-peri discovery); only E-II H10=7m.0 cited; page-image proofread vs page 220: confirmed",high,1864 I,220,"Absolute magnitude estimated first in E-II (7m.0); 14 Sept. D1=2'.7."
1864 N1,Tempel's Comet (1864 II),6.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Tempel); Holetschek H1=6m.8 and 6m for 5 Aug and 11 Aug; C.A.M. H10=6m; Big V reappraisal H10=6m.2 from seven independent estimates; chose C.A.M. per §3.1; first comet to be observed spectroscopically (Donati 5-6 Aug); page-image proofread vs page 220-221: confirmed",high,1864 II,220,"Taking m=2 to 3m and 2m on 5 Aug. and 11 Aug., respectively, Holetschek obtained H1=6.8 and 6m. In C.A.M. H10=6m. According to Schmidt's estimates, D=3'.8; S=0.07 to 0.09. The catalogue above figures reappraised according to seven independent estimates (H10=6m.2)."
1864 Y1,Bruhns's Comet (1864 V),9.5,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Bruhns); E-II H10=11m; Big V synthesis: first period H10=9 to 10m (mid 9.5); end of January H10=12m — asymmetric/fading; took first-period synthesis as brighter representative; page-image proofread vs page 222: confirmed",low,1864 V,222,"In E-II, H10=11m. In the first period, H10=9 to 10m; at the end of January, 12m. A rapid decrease in brightness in January, though ephemeris predicted an increase of 3m over brightness upon discovery."
1865 B1,Great Southern Comet 1865,3.8,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Abbot/Moesta/Ellery + descriptive 'Bright southern comet'); not as bright as Comet Donati per Ellery; Holetschek H1=3m.8 (m=3m on 26 Jan, 5m on 17 Feb); C.A.M. H10=3m.8; D1=9' on 20 Jan; popular_name uses 'Great Southern Comet 1865' since target_list name is 'C/1865 B1 (Great southern comet)'; page-image proofread vs page 222-223: confirmed",high,1865 I,222,"Holetschek took m=3m on 26 Jan. and m=5m(?) on 17 Feb., hence H1=3m.8. In C.A.M., H10=3m.8. 20 Jan., D1=9'. 20 Jan. to 30 Jan., S=0.45."
2P,Encke's Comet,8.0,10.0,"Vsekhsvyatskij 1958, other","matched by body context — 'eighteenth recorded apparition of the Comet Encke-Backlund' = 2P; Holetschek H1=9.2-11.1; Big V synthesis 'we obtain H10=8m'; Holetschek H10=9.8 to 10m after perihelion passage (asymmetric — post-peri fainter); chose Big V's pre-peri synthesis 8m as brighter; no clean C.A.M. cited in this entry; periodic — will dedupe with other 2P apparitions; page-image proofread vs page 223: confirmed",medium,1865 II,223,"Holetschek, taking for 24 June m=6 to 7m, for 15 July 8m and for 21 July 9 to 10m, found H1=9.2 to 11m.1. Taking 12m.5 in January and 12m in February, we obtain H10=8m. From Holetschek's estimates H10=9.8 to 10m after the perihelion passage."
55P,Tempel-Tuttle,8.0,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tempel, Tuttle); Holetschek H1=9 (two papers); C.A.M. H10=9; Big V's 'making use of these estimates' synthesis H10=8m.0±0m.7 — preferred as Big V's own consolidated value; Schiaparelli established orbit identity with Leonids meteor shower; periodic — will dedupe with other 55P apparitions; page-image proofread vs page 224: confirmed",medium,1866 I,224,"Holetschek, taking m=6m upon discovery and m=10m.5 in last observations, obtained H1=9m. In another paper, Sitz. Acad. Wien 117(IIa). 1908; A.N., 179:221, Holetschek gave H1=9m.0; D1=1'.8. In C.A.M., H10=9. Making use of these estimates, we obtain H10=8m.0±0m.7."
4P,Faye's Comet,6.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Faye, 4th apparition); Holetschek H1=7m.8; C.A.M. H10=6m.1; Cherednichenko 1953 H10(av)=6m.4, H10(max)=5m.8, H10(min)=7m.5; chose C.A.M. per §3.1; periodic — will dedupe with other 4P apparitions; page-image proofread vs page 224-225: confirmed",high,1866 II,224,"Holetschek took for the second half of September m=10m and H1=7m.8. In Aug. and Sept., D1=54''; in Nov., 1'.1. In C.A.M., H10=6m.1. W.I. Cherednichenko Publ. Kiev Obs. 5, p. 96. 1953, found H10(av)=6m.4; H10(max)=5m.8; H10(min)=7m.5."
38P,Stephan-Oterma,9.0,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 9P (wrong; 9P/Tempel 1 first apparition is the next entry 1867 II); body says 'Discovered by Coggia on 22 Jan and measured first by Stephan on 25 Jan' — perihelion before discovery (r increasing from 1.58 onwards) matches 38P/Stephan-Oterma peri 1867-01-20; only E-II H10=9m cited; periodic — will dedupe with other 38P apparitions; page-image proofread vs page 225: confirmed",medium,1867 I,225,"In E-II, H10=9m. 28 Jan., D1=3'.6; 9 Feb., D1=2'.0. During the first period, S>0."
9P,Tempel 1,8.4,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'first recorded apparition of the short-period Comet Tempel I' = 9P; Holetschek H1=10m.0 to 10m.8 (Big V comments 'these figures seem to be too low'); C.A.M. H10=9m.3; Big V's synthesis 'By our estimates H10=8m.44±0m.31' — chose this as Big V's own preferred value rejecting Holetschek's underestimates; periodic — will dedupe with other 9P apparitions; page-image proofread vs page 225-226: confirmed",high,1867 II,225,"Holetschek took m=9m.7 on 6 May and m=12m.5 on 21 Aug.; hence H1=10m.0 to 10m.8. These figures seem to be too low. ... In C.A.M., H10=9m.3. By our estimates, H10=8m.44±0m.31."
1867 S1,Baeker-Winnecke (1867 III),8.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Backer, Winnecke); E-II H10=7 to 9m (mid 8.0); nucleus 9 to 10m; D1=3 to 4' on 3 Oct; brief photometry; range-only, flag medium per §3.4; page-image proofread vs page 226-227: confirmed",medium,1867 III,226,"In E-II, H10=7 to 9m. Nucleus 9 to 10m. 3 Oct., D1=3 to 4'. 23 Oct., S=0.004."
5D,Brorsen's Comet,8.5,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'third recorded apparition of the short-period Comet Brorsen (1846 III, 1857 II)' = 5D; Holetschek H1 ranging 7m.7 (mid May) to 10-11m; C.A.M. H10=8m.5; Konopleva H10(av)=9m.6 to 9m.9; chose C.A.M. per §3.1; periodic — will dedupe with other 5D apparitions; page-image proofread vs page 227: confirmed",high,1868 I,227,"According to Schmidt's estimates for 11 April to 8 July, Holetschek found H1 ranging between 7m.7 (middle of May) and 10 to 11m. In C.A.M., H10=8m.5. According to V.P. Konopleva, on the average H10=9m.6 to 9m.9."
1868 L1,Winnecke's Comet (1868 II),7.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Winnecke); Holetschek H1=6m.6; C.A.M. H10=7m.7; Big V synthesis 7m.6±0m.1 from Schmidt estimates; D1=3'.5; S=0.02; page-image proofread vs page 227-228: confirmed",high,1868 II,227,"Using Winnecke's estimate, Holetschek obtained H1=6m.6. In C.A.M., H10=7m.7; D1=3'.5; S=0.02. Taking, according to Schmidt, m=4 to 5m on 26 June; 9 July, 5m; 14 July and 15 July, 5 to 6m, we obtain H10=7m.6±0m.1."
2P,Encke's Comet,9.0,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'nineteenth recorded apparition of the Comet Encke-Backlund' = 2P; Holetschek H1=10m.2 to 7m.8; In the catalogue (C.A.M.) H10=9m.4; Big V synthesis 'with the given estimates H10=9m.0' preferred over C.A.M.; periodic — will dedupe with other 2P apparitions; page-image proofread vs page 228: confirmed",medium,1868 III,228,"Holetschek took for 24 July, 11m.5; 26 Aug., 7m.5; 27 Aug., 7m; 3 Sept., 7m; hence, H1=10m.2 to 7m.8. In the catalogue, H10=9m.4; with the given estimates, H10=9m.0; D1=3'.2 to 4'.7; S>0."
7P,Pons-Winnecke,9.6,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Pons-Winnecke); 'third recorded apparition of Comet Pons-Winnecke' per body; Holetschek H1=9.5 to 10.5; C.A.M. H10=9m.6; periodic — will dedupe with other 7P apparitions; page-image proofread vs page 229: confirmed",high,1869 I,229,"Holetschek, adopted Schmidt's estimates and took for 4 Aug. and 5 Aug. m=7 to 8m and for 18 Aug., 9m; hence, H1=9.5 to 10m.5. In C.A.M., H10=9m.6."
1869 T1,Tempel's Comet (1869 II),5.1,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 7P (wrong; 7P 1869 apparition is entry 1869 I, the previous one); body identifies as Tempel's 11 Oct 1869 discovery in Sextans; perihelion ~Oct 10 from target list 1869 T1 (Tempel) peri 1869-10-10; only E-II H10=5m.1 cited; brief photometry; page-image proofread vs page 229-230: confirmed",high,1869 II,229,"The catalogue followed the values given in E-II for H10 (5m.1)."
11P,Tempel-Swift-LINEAR,11.4,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 226P (wrong; 226P/Pigott-LINEAR-Kowalski peri 1869-07-09 doesn't match this entry's late-Nov 1869 perihelion); body explicitly: 'first recorded apparition of the short-period Tempel-Swift Comet' = 11P/Tempel-Swift-LINEAR per target list 1869 11P peri 1869-11-19; Holetschek H1=11m.4 (m=10m.3 on 28 Nov); periodic — will dedupe with other 11P apparitions; page-image proofread vs page 230: confirmed",high,1869 III,230,"Taking Holetschek's estimates for 28 Nov., m=10m.3; hence, H10=11m.4. By various estimates, D1=0'.5 to 1.5."
1870 Q1,Coggia's Comet (1870 II),9.5,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Coggia) + perihelion 28 Aug discovery → 1870 Q1; 'Absolute magnitude from E-II ... H10=9 to 10m' (mid 9.5); flag medium for range-only per §3.4; page-image proofread vs page 231: confirmed",medium,1870 II,231,"Absolute magnitude from E-II; from Schmidt, D1=6'.48'' to 5'.0. Brilliant nucleus; H10=9 to 10m."
6P,d'Arrest's Comet,8.2,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 1870 Q1 (wrong); body explicitly: 'third recorded apparition of the short-period d'Arrest Comet' = 6P; Holetschek H1=10m (Big V calls it 'an apparent underestimate'); E-II H10=8m.2 (preferred); periodic — will dedupe with other 6P apparitions; page-image proofread vs page 231-232: confirmed",high,1870 III,231,"Holetschek took m=12m; hence H1=10m, an apparent underestimate, considering that the comet was visible in October in full moon. In E-II, H10=8m.2."
1870 W1,Winnecke's Comet (1870 IV),11.1,10.0,"Vsekhsvyatskij 1958, E-II","MANUAL DESIGNATION OVERRIDE — script gave 6P (wrong; 6P 1870 apparition is entry 1870 III); body identifies as Winnecke's 23 Nov 1870 discovery near γ Virginis; only E-II H10=11m.1 cited; comet visible only ~one week, abruptly grew faint; matches target 1870 W1 (Winnecke) peri 1870-12-20; page-image proofread vs page 232: confirmed",medium,1870 IV,232,"Absolute magnitude from E-II, H10=11m.1; D1=1'.4 to 1'.8."
1871 G1,Winnecke's Comet (1871 I),5.3,10.0,"Vsekhsvyatskij 1958, other","matched by name (Winnecke) + perihelion ~June 1871 (target 1871 G1 (Winnecke) peri 1871-06-11); Holetschek H1=6m.5 to 7m.0; C.A.M. H10=6m.3; Big V synthesis from Tempel/Swift 'we get H10=5m.3' (brighter — preferred per Big V's framing); page-image proofread vs page 232-233: confirmed",medium,1871 I,232,"Adopting Schmidt's estimates for 26 April and 27 April and for 9 May (m=8m), which referred to the brightness of the nucleus only, Holetschek obtained H1=6m.5 to 7m.0. In C.A.M., H10=6m.3; 5 May to 9 May, D1=3'.8; 9 May, S=0.01. Taking according to Tempel and Swift in May m=6 to 7m and 16 May m=6m, we get H10=5m.3."
1871 L1,Tempel's Comet (1871 II),6.5,10.0,"Vsekhsvyatskij 1958, other","matched by name (Tempel) + body discovery 14 June 1871 → 1871 L1 (Tempel); 'In E-II H10=6m.0 due to an erroneous use of Tempel's estimates which actually refer to comet 1871 I' — Big V flags E-II as erroneous (paper trail similar to V1 Donati pattern); ASYMMETRIC: Big V's own synthesis H10=6m.5 before perihelion, H10=8m.7 in August-September after perihelion; took pre-peri (brighter) per §3.3; page-image proofread vs page 233: confirmed; ERRONEOUS E-II flagged",low,1871 II,233,"In E-II, H10=6m.0 due to an erroneous use of Tempel's estimates, which actually refer to comet 1871 I. According to the estimates above, H10=6m.5 before the perihelion passage and H10=8m.7 in August and September (after perihelion passage)."
8P,Tuttle,8.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by body — 'third recorded apparition of the short-period Comet Tuttle' = 8P; only E-II H10=8m.0 cited; D1=2 to 3'; periodic — will dedupe with other 8P apparitions; page-image proofread vs page 233-234: confirmed",high,1871 III,233,"In E-II, H10=8m.0; D1=2 to 3'; S>0."
1871 V1,Tempel's Comet (1871 IV),11.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Tempel) + perihelion late-Dec 1871 → 1871 V1 (Tempel); 'Absolute magnitude determined for the first time in E-II'; Big V does NOT print numeric H10 explicitly but lists 'h0=11m' (nucleus brilliance); h0=11m is the nucleus, not the absolute magnitude — flag low for review; absent better data treating h0 as proxy is incorrect; LOW confidence, requires manual review; page-image proofread vs page 234: H10 numeric value not printed",low,1871 IV,234,"Absolute magnitude determined for the first time in E-II. In November, D1=2'.6 to 4'.0; h0=11m."
2P,Encke's Comet,9.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by body — 'twentieth recorded apparition of Comet Encke-Backlund' = 2P; Holetschek upon discovery m=12m.5 (underestimate); H1=11m.5 to 7m.4; C.A.M. H10=9m.4; Big V synthesis for end Nov-Dec only H10=8m.8 (asymmetric brightening); chose C.A.M. per §3.1; periodic — will dedupe with other 2P apparitions; page-image proofread vs page 234-235: confirmed",high,1871 V,234,"Holetschek took upon discovery m=12m.5 (underestimate); 29 Nov., 6m.7; 30 Nov., 6m.3; 2 Dec., 5m.3 and in Dec., 5m.7 to 4m.5. Hence H1=11m.5 to 7m.4. In C.A.M., H10=9m.4. Making use only of the estimates for the end of November and December (m=6 to 4m) we obtain H10=8m.8."
9P,Tempel 1,10.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 26P (wrong; 26P/Grigg-Skjellerup peri 1873-02-16 doesn't match this entry's April-July 1873 observations); body explicitly: 'second recorded apparition of the short-period comet Tempel(1)' = 9P; Holetschek H1=10m.3 to 12m.0; C.A.M. H10=10m.0; synthesis 9m.2; chose C.A.M. per §3.1; periodic — will dedupe with other 9P apparitions; page-image proofread vs page 236: confirmed",high,1873 I,236,"Holetschek adopted for 3 April m=12m.5; 19 May, 11m.0 and 30 June, 13m.0; hence, H1=10m.3 to 12m.0. In C.A.M., H10=10m.0. With these estimates we obtain H10=9m.2. D1=0.5 to 1'.0."
10P,Tempel 2,9.1,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 9P (wrong); body explicitly: 'first recorded apparition of the short-period Comet Tempel(2)' = 10P; Holetschek H1=9m.7 to 10m.1; C.A.M. H10=9m.1; synthesis 8m.5 (Big V notes brightness 'apparently higher than Holetschek's estimates'); chose C.A.M. per §3.1; periodic — will dedupe with other 10P apparitions; page-image proofread vs page 236-237: confirmed",high,1873 II,236,"From Holetschek, H1=9m.7 to 10m.1. In C.A.M., H10=9m.1. From these estimates, H10=8m.5. D1max=3'.4."
4P,Faye's Comet,7.4,10.0,"Vsekhsvyatskij 1958, other","matched by body — 'fifth recorded apparition of the short-period comet Faye' = 4P; Holetschek H1=9m.2 to 9m.4; E-II H10=6m.7; Cherednichenko H10(av)=7m.4 chosen as apparition-specific synthesis (matches sample row pattern for 4P 1851); periodic — will dedupe with other 4P apparitions; page-image proofread vs page 237: confirmed",medium,1873 III,237,"Holetschek considered H1=9m.2 to 9m.4. In E-II, H10=6m.7. W.E. Cherednichenko adopted H10(av)=7m.4."
1873 Q1,Borrelly's Comet (1873 IV),7.0,10.0,"Vsekhsvyatskij 1958, C.A.M.","matched by name (Borrelly) + body discovery 20 Aug 1873; C.A.M. H10=7m; Big V synthesis 6m.7; nucleus h10=9m; D1=3'.7; chose C.A.M. per §3.1; page-image proofread vs page 237: confirmed",high,1873 IV,237,"In C.A.M., H10=7m. From these estimates, H10=6m.7. Brilliance of nucleus h10=9m. Coma diameter D1=3'.7; S>0."
1873 Q2,Henry's Comet (1873 V),6.4,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 1873 Q1 (wrong; that's the Borrelly comet, previous entry); body identifies as 'Andries (Paris)' but the named modern comet is C/1873 Q2 (Henry) — OCR likely garbled discoverer name (printed text reads 'Andries' but matches Henry's discovery 23 Aug); Big V's 1873 V perihelion ~Sept 18 from r,Δ data fits 1873 Q2 (Henry) peri 1873-10-02; Holetschek H1=5m.9; C.A.M. H10=6m.4; synthesis from Tempel D1=7-9' confirms bright; chose C.A.M.; page-image proofread vs page 237-238: 'Andries' literally printed but identification with 1873 Q2 (Henry) by perihelion+date matching",low,1873 V,237,"Holetschek adopted for 9 Sept. m=4m and found H1=5m.9. In C.A.M., H10=6m.4. Nucleus h10=10m. From Tempel, D1=7 to 9'. 3 Sept. S=0.04."
5D,Brorsen's Comet,9.6,10.0,"Vsekhsvyatskij 1958, other","MANUAL DESIGNATION OVERRIDE — script gave 1873 Q2 (wrong; that's Henry, previous entry); body explicitly: 'fourth recorded apparition of the short-period Comet Brorsen' = 5D; Holetschek H1=7m.7 to 8m.7 (mid 8.2) for 19 Sept-3 Oct; E-II H10=9m.6 (Big V calls it 'an apparent underestimate'); Big V synthesis H10=9m.2 — chose Big V's preferred synthesis since E-II flagged as underestimate; periodic — will dedupe with other 5D apparitions; page-image proofread vs page 238: confirmed",medium,1873 VI,238,"Holetschek considered for 19 Sept. to 3 Oct. m=7 to 8m and found H1=7m.7 to 8m.7. In E-II, H10=9m.6, an apparent underestimate. According to the preceding estimates, H10=9m.2. D1=1'.0."
1874 D1,Winnecke's Comet (1874 I),11.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Winnecke) + body discovery 20 Feb 1874 → 1874 D1; only E-II H10=11m.0 cited; observed only 6 days; D1=1'.5; S=0.0006; page-image proofread vs page 239: confirmed",high,1874 I,239,"From E-II, absolute magnitude H10=11m.0; D1=1'.5; S=0.0006."
1874 G1,Winnecke's Comet (1874 II),5.0,10.0,"Vsekhsvyatskij 1958, E-II","matched by name (Winnecke) + body discovery 11 April 1874 → 1874 G1; only E-II H10=5m.0 cited; nucleus brilliance h10=11m.9; D1=6'.1; brief photometry; first comet whose spectrum was identified as hydrocarbon (Vogel/Huggins); page-image proofread vs page 239-240: confirmed",high,1874 II,239,"In E-II, H10=5m.0; brightness of nucleus h10=11m.9. In April and May D1=6'.1."
1874 H1,Coggia's Comet (Great Comet 1874),5.7,10.0,"Vsekhsvyatskij 1958, C.A.M.","MANUAL DESIGNATION OVERRIDE — script gave 41P (wrong; 41P/Tuttle-Giacobini-Kresak peri 1874-05-15 doesn't match — this is the great Coggia of 1874); body identifies as 'Bright comet. Discovered by Coggia (Marseilles) on 17 April... visible to the naked eye [in June], tail 6-8' wide... 1-2m head' = Great Comet of 1874 = 1874 H1 (Coggia) per target list peri 1874-07-09; Holetschek H1=4m.3; C.A.M. H10=5m.7 (Big V notes Schmidt's 'essentially underestimated values'); Bobrovnikoff n=4.95, y=12.3, H0=6m.5; Kritzinger y=13, H10=5m.4; chose C.A.M.; sanity check: M1=5.7 with r_peri=0.68, Δ_min~0.29 → peak ~mag 1.4 (consistent with reported peak ~mag 1, naked-eye great comet); page-image proofread vs page 240-242: confirmed",high,1874 III,240,"Holetschek, taking for 9 July to 13 July m=1.7, found H1=4m.3. In C.A.M., H10=5m.7. Making use of the essentially underestimated values of Schmidt (that apparently refer to the central condensation, the nucleus, rather than to the entire head), Bobrovnikoff (Perkins Obs. Contr. (16) 1942) obtained n=4.95, y=12.3 and H0=6m.5. Earlier Kritzinger obtained y=13, H10=5m.4."
